"Time (s)";"Acceleration (m/s²)"
9.240154250E0;5.354295373E-3
9.280529250E0;6.652961969E-3
9.320873250E0;-2.353197321E-2
9.361217250E0;-4.931541681E-3
9.401562250E0;1.566615254E-2
9.441906250E0;2.926823795E-2
9.482281250E0;-2.342716187E-2
9.522625250E0;-1.999075323E-2
9.562969250E0;1.248044327E-2
9.603313250E0;3.083382994E-3
9.643658250E0;-1.779994771E-2
9.684002250E0;2.046847075E-2
9.724377250E0;-7.938179970E-3
9.764721250E0;-2.004557088E-2
9.805065250E0;1.342286825E-2
9.845409250E0;2.621555284E-2
9.885753250E0;-2.315117329E-2
9.926128250E0;3.365364969E-3
9.966467750E0;2.120638937E-3
1.000681275E1;1.125296652E-3
1.004715675E1;2.384830758E-2
1.008750075E1;-1.424747184E-2
1.012787575E1;4.675579816E-3
1.016821975E1;-8.678729832E-3
1.020856375E1;1.413491294E-2
1.024890875E1;-2.621555284E-2
1.028925275E1;6.261490881E-3
1.032962775E1;7.970778197E-3
1.036997175E1;7.257271707E-3
1.041031575E1;-1.814537197E-2
1.045065975E1;7.666547567E-2
1.049100475E1;-4.962473452E-2
1.053137875E1;-6.575208619E-2
1.057172375E1;8.020815745E-2
1.061206775E1;2.726688221E-2
1.065241175E1;-4.761899337E-2
1.069275575E1;-6.555313468E-3
1.073313075E1;1.612252772E-2
1.077347475E1;-1.510394275E-2
1.081381975E1;3.089054793E-2
1.085416375E1;-1.353352681E-2
1.089450775E1;-1.615571067E-2
1.093490171E1;2.021952555E-2
1.097524571E1;1.632104069E-2
1.101558971E1;-1.617091343E-2
1.105593371E1;1.682872519E-2
1.109627871E1;2.494758412E-2
1.113662271E1;-8.539858460E-4
1.117699771E1;-6.060200483E-3
1.121734171E1;1.160233766E-3
1.125768571E1;6.868578047E-3
1.129802971E1;-9.830485135E-3
1.133837471E1;2.351296976E-2
1.137874871E1;3.702325389E-2
1.141909371E1;-1.665126219E-2
1.145943771E1;-2.019394398E-2
1.149978171E1;3.202139944E-2
1.154012571E1;2.400004283E-2
1.158050071E1;2.996113300E-3
1.162084471E1;1.518668085E-3
1.166118971E1;-7.247477621E-3
1.170153371E1;2.603078082E-2
1.174187771E1;9.158640057E-3
1.178225271E1;-6.682329610E-2
1.182259671E1;2.021718666E-2
1.186294071E1;3.857875943E-2
1.190328571E1;-2.466794103E-3
1.194360758E1;-9.994938076E-3
1.198398258E1;-1.176167428E-3
1.202432658E1;1.555417836E-2
1.206467058E1;-8.735447824E-3
1.210501458E1;-1.800050721E-2
1.214535958E1;4.644151032E-2
1.218573358E1;1.576687083E-2
1.222607758E1;-1.300786212E-2
1.226642258E1;-2.820404470E-3
1.230676658E1;2.600008294E-2
1.234711058E1;3.878019601E-3
1.238748558E1;-2.308393031E-2
1.242782958E1;-1.302613467E-2
1.246817358E1;2.035635039E-2
1.250851858E1;3.875286028E-2
1.254886258E1;-1.720996365E-2
1.258923758E1;-1.814975739E-3
1.262958158E1;1.775507033E-3
1.266992558E1;1.531195745E-2
1.271026958E1;1.082027256E-2
1.275061458E1;1.699420139E-2
1.279098858E1;1.806190297E-2
1.283133358E1;-2.609115332E-2
1.287167758E1;-3.639307022E-3
1.291202158E1;4.886298850E-2
1.295236546E1;1.123981029E-2
1.299271046E1;-1.701130450E-2
1.303308446E1;5.107250512E-3
1.307342946E1;6.080373377E-3
1.311377346E1;1.856593296E-2
1.315411746E1;-5.508077145E-4
1.319446146E1;-8.152480423E-3
1.323483646E1;3.061967567E-2
1.327518046E1;-5.768278241E-4
1.331552546E1;-1.122299954E-2
1.335586946E1;2.016266137E-3
1.339621346E1;3.323352724E-2
1.343658846E1;6.119257361E-3
1.347693246E1;-2.902981773E-2
1.351727646E1;1.257633761E-2
1.355762046E1;4.616815299E-3
1.359796546E1;-2.979594916E-3
1.363833946E1;1.472782061E-2
1.367868446E1;2.422633007E-2
1.371902846E1;-1.261829138E-2
1.375937246E1;-9.759002924E-4
1.379971646E1;6.310461313E-3
1.384009146E1;-2.002028167E-2
1.388043546E1;3.615114167E-2
1.392078046E1;3.793410391E-2
1.396113900E1;-2.671125054E-2
1.400148300E1;4.391405135E-3
1.404185800E1;5.059113309E-2
1.408220200E1;-7.807787061E-3
1.412254600E1;-6.163257658E-3
1.416289100E1;2.188554347E-2
1.420323500E1;-2.942085028E-2
1.424361000E1;-9.482429624E-3
1.428395400E1;4.418711632E-2
1.432429800E1;1.958524883E-3
1.436464200E1;-6.524615586E-3
1.440498700E1;1.270380691E-2
1.444533100E1;1.413272023E-3
1.448570600E1;8.544828594E-3
1.452605000E1;4.006658345E-3
1.456639400E1;-5.376076251E-3
1.460673800E1;6.079934835E-3
1.464708200E1;9.514150769E-3
1.468745700E1;2.598064095E-2
1.472780100E1;-2.317733958E-2
1.476814600E1;-4.269052148E-3
1.480849000E1;1.341555923E-2
1.484883400E1;2.519170538E-2
1.488920900E1;-1.843627095E-3
1.492955300E1;1.197787508E-2
1.496989671E1;-5.639347136E-3
1.501024171E1;-3.357909769E-3
1.505058571E1;1.810824215E-2
1.509096071E1;1.245559260E-2
1.513130471E1;4.802464396E-3
1.517164871E1;-6.239417642E-3
1.521199271E1;2.408702016E-2
1.525233771E1;7.302733809E-3
1.529271171E1;5.349909961E-3
1.533305671E1;6.732484102E-3
1.537340071E1;-2.707246229E-2
1.541374471E1;-1.914963126E-4
1.545408871E1;7.735442385E-2
1.549446371E1;-1.111818820E-2
1.553480771E1;-2.694528535E-2
1.557515271E1;2.821807802E-2
1.561549671E1;2.287489235E-2
1.565584071E1;1.048844308E-3
1.569621571E1;-4.805095643E-3
1.573655971E1;-3.210121393E-3
1.577690371E1;1.457681626E-2
1.581724871E1;7.888770998E-3
1.585759271E1;-1.691745669E-3
1.589793671E1;2.452541515E-2
1.593832813E1;3.679798990E-3
1.597867212E1;-7.592609525E-4
1.601901612E1;-7.820943296E-3
1.605936013E1;2.859054565E-2
1.609970513E1;1.106468618E-2
1.614007912E1;-3.165784881E-2
1.618042412E1;3.577691987E-2
1.622076813E1;1.647219121E-2
1.626111212E1;-2.622476220E-2
1.630145613E1;1.022049442E-2
1.634183112E1;1.906206921E-2
1.638217512E1;-1.294310421E-2
1.642252012E1;-2.003840804E-3
1.646286413E1;3.797196463E-2
1.650320812E1;1.801015511E-2
1.654358312E1;-8.914080262E-3
1.658392713E1;1.990582243E-2
1.662427112E1;1.922213674E-2
1.666461612E1;-7.644065022E-3
1.670496013E1;-5.202106968E-2
1.674533513E1;2.071741596E-2
1.678567912E1;2.422574535E-2
1.682602313E1;3.878458142E-3
1.686636712E1;-3.878165781E-3
1.690671212E1;-1.032735229E-2
1.694707100E1;1.533139944E-3
1.698741600E1;2.344894275E-2
1.702776000E1;-1.463675022E-2
1.706810400E1;3.792942613E-3
1.710844800E1;6.369518191E-3
1.714882300E1;7.341617793E-3
1.718916700E1;3.224885613E-3
1.722951100E1;2.537691593E-2
1.726985600E1;2.507388398E-2
1.731020000E1;-1.371259779E-2
